Question;Answer;Explanation;Proposition0;Proposition1
Un caillou est aussi le surnom donné à un objectif photographique.;VRAI;De même qu’à la Nouvelle-Calédonie.;VRAI;FAUX
L’argile est une roche perméable.;FAUX;"Elle est imperméable contrairement au calcaire.
";VRAI;FAUX
La pétrographie correspond à la science d’analyse du pétrole.;FAUX;Cela correspond à la science de la description et de l’analyse des roches.;VRAI;FAUX
Roche et rocher sont des mots synonymes.;FAUX;Un rocher est un bloc de roches.;VRAI;FAUX
Le terme de « cardinaux » est aussi utilisé pour désigner les minéraux les plus courants dans les roches magmatiques.;VRAI;_;VRAI;FAUX
On peut parler de caractère « acide » ou « basique » pour une roche magmatique.;VRAI;Cela dépend de la teneur en SiO2 de la roche.;VRAI;FAUX
Le basalte serait un constituant important des croûtes des planètes Mars, Vénus et Mercure.;VRAI;_;VRAI;FAUX
Le basalte est une roche magmatique volcanique, issue d'une lave refroidie rapidement.;VRAI;Il s'agit d'un des constituants principaux de la croûte océanique.;VRAI;FAUX
"Les ""mers lunaires"" sont de larges et sombres étendues d'eau sur la Lune.";FAUX;Il s'agit de plaines basaltiques sur la Lune, formées par d'anciennes coulées volcaniques.;VRAI;FAUX
Après sa formation, il y a environ 4,5 milliards d’années, la surface de la Lune était un océan de magma liquide.;VRAI;_;VRAI;FAUX
