Question;Answer;Explanation;Proposition0;Proposition1
Dans tous les pays développés, la vente de médicaments progresse structurellement plus vite que le PIB.;Proposition0;En France par exemple, elle a progressé de 2,7% entre 2010 et 2011, par rapport à 2,1% pour le PIB à la même date;VRAI;FAUX
En moyenne, un ménage français dépense plus d’argent pour les médicaments que pour les vêtements.;Proposition1;C’est toujours l’inverse avec par exemple, 47700 millions d’euros contre 34341 millions d’euros par an en 2012.;VRAI;FAUX
En 2000, la France est le plus grand consommateur européen de médicaments, parmi les 8 classes thérapeutiques principales.;Proposition0;_;VRAI;FAUX
"Une maladie ""orpheline"" est une maladie que développe un enfant orphelin.";Proposition1;"On appelle ""maladie orpheline"" une maladie rare.";VRAI;FAUX
"La ""posologie"" correspond au poids du patient.";Proposition2;"La ""posologie"" est la dose usuelle du médicament utilisé et varie en fonction de l'âge, du poids, et autres facteurs relatifs au patient.";VRAI;FAUX
"La ""forme galénique"" d'un médicament se rapporte à des médicaments en forme de galets.";Proposition3;"La ""forme galénique"" correspond à à l’aspect physique final du médicament : comprimés, gélules, sachets, etc.";VRAI;FAUX
"Un ""liquide oral"" est synonyme de ""solution buvable"" dans le domaine médical.";Proposition4;Un liquide oral, un bain de bouche par exemple, ne doit pas être avalé et ne doit donc pas être confondu avec une solution buvable.;VRAI;FAUX
Un excipient est une substance auxiliaire contenue dans le médicament et servant à favoriser l'absorption par le corps de ce médicament.;Proposition0;_;VRAI;FAUX
L'eau ou le saccharose peuvent parfois être utilisés comme excipients dans certains médicaments.;Proposition1;C'est le cas dans la formulation de certains sirops par exemple.;VRAI;FAUX
"La ""galénique"" est l'art de formuler des médicaments.";Proposition2;Cette appelation vient de Galien, médecin de l'Antiquité, et un des principaux fondateurs des principes de base de la médecine européenne actuelle.;VRAI;FAUX
